school_name,address,postal_code,mrt_desc,bus_desc,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,Admiralty Station,"TIBS 965, 964, 913",1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,ADMIRALTY MRT,904,1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",1.43315271543517,103.832942401086
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",1.43605975368804,103.829718690077
AI TONG SCHOOL,100  Bright Hill Drive,579646,Bishan MRT,"410, 162, 52",1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,Redhill Station  Tiong Bahru Station,"51, 122, 139, 186, 970.",1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,MRT : NE16-Sengkang LRT : SW7-TongKang,"Bus 372, 110, 50",1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",1.38426429436736,103.841392081119
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853, 860",1.37894408046934,103.845760935132
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,"76,132,165,166,169,200,000,000",1.36932176584608,103.839630858752
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",1.36733710171069,103.842154973672
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",1.33118107926966,103.941853465631
ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",1.30304255193392,103.785358436408
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",1.31961649151328,103.835772689988
ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",1.30370409257783,103.780363417671
ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",1.30935041274966,103.840950265464
ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,Newton MRT Station,"Bus 48, 66, 67, 170, 603, 972M",1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,Tampines and Simei Stations,"Bus Service 8, 17, 18, 20, 28, 34, 39, 59, 518, Feeder Bus Service 292",1.36360590588314,103.9389409004
ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",1.36838160662857,103.766687526556
ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",1.3696707043227,103.765959130581
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",1.33995415587811,103.882806211705
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,"Bangkit LRT, Fajar LRT Station","920, 922, 971, 972, 972A, 972M, 976",1.38394936211823,103.773632022975
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",1.341790284928,103.852280842345
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",1.32344593287992,103.937878976352
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",1.33451947288431,103.935028383346
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,TANAH MERAH MRT,"10, 14, 45",1.32513655159184,103.950989139261
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",1.32415704029686,103.943776245024
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",1.32181250780475,103.865404167629
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",1.32461111307996,103.860970284401
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,1.27612047924037,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",1.34284013791617,103.712858381937
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",1.34272216334333,103.701891453912
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",1.37035994436209,103.877659577677
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,DAKOTA MRT,"10, 16, 30, 31, 32, 33",1.30705061123433,103.886917922608
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",1.34849111079052,103.74087370482
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",1.28569283064288,103.813438929393
BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,689809,CHOA CHU KANG MRT,"300, 983",1.38224243360043,103.738361221869
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",1.37362179302436,103.769374904025
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,"Beauty World, Bukit Batok and Clementi Stations",173,1.3377498622588,103.766855344779
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",1.34586054788695,103.75366641455
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",1.3457330554294,103.752226593984
CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,Sembawang MRT Station,Bus No. 859,1.45125024371543,103.815858858929
CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,SEMBAWANG MRT,"859, 962",1.45319086315972,103.814203583818
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",1.32664424544839,103.882227964852
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,Tanjong Pagar Outram Park,"75, 167, 196",1.27547252623201,103.839962631748
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,Pasir Ris MRT Station,"Nos. 12, 21 & 358",1.37246063927999,103.957020286115
CATHOLIC HIGH SCHOOL,9    BISHAN STREET 22,579767,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",1.3547230747166,103.844874676599
CATHOLIC JUNIOR COLLEGE,129  WHITLEY ROAD,297822,"Toa Payoh (NS Line),  Novena (NS Line),  Stevens (DT Line),  Caldecott (CC Line,TE Line)","105, 132, 151, 153, 154, 156, 186, 966, 985",1.32455605783219,103.835028842353
CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,349692,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",1.33375800216334,103.873933064886
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",1.33566084356265,103.87562006259
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,SIMEI MRT,"5, 9, 20, 38",1.33950630072876,103.953245525564
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,Simei MRT Station,"9,38,5",1.34023163951633,103.952080114035
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",1.30648535277087,103.911105620496
CHIJ (KELLOCK),1    Bukit Teresa Road,99757,Outram Park Station,"61, 124, 143, 166",1.275022722964,103.828157564896
CHIJ KATONG CONVENT,346  MARINE TERRACE,449150,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",1.30644268034894,103.917144350028
COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",1.39444529636566,103.897812229905
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",1.35742952269615,103.864009397373
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",1.37330297140128,103.897575728303
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",1.36646014136363,103.768739256709
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,Toa Payoh,"59, 231, 141",1.33275264711587,103.841847263786
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,TOA PAYOH MRT,"59, 141, 231",1.33246079948303,103.843271625083
CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,548595,SENGKANG MRT,"50, 82, 86, 88, 119, 136",1.39175222260369,103.902464991543
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT (End 2021)","76, 265, 268, 269",1.37347687878916,103.834253269436
CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,99138,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",1.27535177510054,103.822440701642
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,Yishun MRT station,Feeder Service 811,1.43839562897006,103.839309173817
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,Tampines MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",1.35061130568554,103.951317297552
CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,737924,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",1.42656780901455,103.793451105242
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2 Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",1.37775890093367,103.741832917421
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",1.38333422637073,103.75510327583
CHUNG CHENG HIGH SCHOOL (MAIN),50   GOODMAN ROAD,439012,DAKOTA MRT,"10, 12, 14, 16, 16M, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",1.30509154753048,103.891653229373
CHUNG CHENG HIGH SCHOOL (YISHUN),11   YISHUN STREET 61,768547,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",1.41922603586175,103.837390782849
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,Clementi MRT Station,We are just beside Clementi Bus Interchange.,1.31506321827875,103.763144493687
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",1.31553912945073,103.762020598524
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",1.31920395934801,103.745637393049
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",1.39614083952009,103.899847164494
CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,Choa Chu Kang MRT Station,Bus 300 and 983,1.38026516111464,103.736554295636
CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",1.35099779872539,103.707593724342
CRESCENT GIRLS' SCHOOL,357  TANGLIN ROAD,247961,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",1.29331947077104,103.817544461755
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",1.3431198045076,103.742628105304
DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",1.33546106800406,103.921270169613
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",1.33692798510393,103.927091653438
DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,Bukit Gombak,"187, 188",1.3591797447277,103.74847210784
DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,YEW TEE MRT,"TIBS 302, 979",1.3947078296399,103.743201812831
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",1.36599702567717,103.852545772422
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",1.36357900792871,103.74472109107
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",1.29996216014962,103.88294155989
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,TAMPINES EAST MRT,"28, 29, 293",1.36065258337022,103.956213906966
EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,Tampines,"291, 28,18",1.35268400746357,103.961676849165
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",1.35622508992581,103.960640700298
EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,Punggol MRT,"3, 34, 62, 82, 83, 136",1.40009139510996,103.907847599114
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",1.40059309981824,103.902687385465
ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",1.37505696315817,103.945289416873
ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,Sembawang MRT Station,"859, 962",1.45403837499301,103.817436231731
EUNOIA JUNIOR COLLEGE,2    Sin Ming Place,573838,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",1.36213757183547,103.841286169122
EUNOS PRIMARY SCHOOL,95   JALAN EUNOS,419529,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",1.4426347903311,103.800040119743
EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,Admiralty,"913(front), 911 & 858(back)",1.44415332824735,103.794577787757
EVERGREEN SECONDARY SCHOOL,11   WOODLANDS STREET 83,738489,WOODLANDS MRT,911,1.44149131273737,103.794137756171
FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",1.30100441916733,103.785455606827
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",1.30163374395823,103.784099647149
FAJAR SECONDARY SCHOOL,31   GANGSA ROAD,678972,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 976, 979",1.44589068910993,103.802398196596
FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,Farrer Park MRT Station,131,1.31236867681371,103.850766402965
FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",1.32980598760785,103.931710293058
FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,Kupang LRT Station (SW3),"85, 102",1.39726966050479,103.880330305684
FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",1.39030227963797,103.874445458032
FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",1.34032299499938,103.855529906182
FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,Pioneer MRT Station (EW28),"241, 974, 179",1.33641298743234,103.69970173931
FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",1.43047990810126,103.778192944298
FUCHUN SECONDARY SCHOOL,21   WOODLANDS AVENUE 1,739062,"MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 925M, 926, 950, 960, 960E, 961, 961M, 963, 963E, 963R, 966, 912B, 912M",1.43070452883799,103.777625748539
FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,"JURONG EAST CENTRAL (BS28441): 41,49,52,105,160,160A,160M,176,183,334,506    JURONG EAST CENTRAL (BS28431):51,66,78,79,143, 143M, 176, 335",1.33659726465816,103.736089481883
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",1.34701408913756,103.72652089832
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,Redhill,"14, 63, 147, 196, 197, 855, 961",1.28559516494962,103.815547410064
